date,geography_code,c_dpcefamuk11_name,c_fmtfamuk11_name,obs_value
2011,E09000007,Families with no children,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),10514
2011,E09000007,Families with no children,Couple family: Married or same-sex civil partnership: Step-family,0
2011,E09000007,Families with no children,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),9029
2011,E09000007,Families with no children,Couple family: Cohabiting: Step-family,0
2011,E09000007,Families with no children,Lone parent family: Male parent,0
2011,E09000007,Families with no children,Lone parent family: Female parent,0
2011,E09000007,Youngest dependent child: Age 0 to 9,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),8488
2011,E09000007,Youngest dependent child: Age 0 to 9,Couple family: Married or same-sex civil partnership: Step-family,362
2011,E09000007,Youngest dependent child: Age 0 to 9,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),1511
2011,E09000007,Youngest dependent child: Age 0 to 9,Couple family: Cohabiting: Step-family,159
2011,E09000007,Youngest dependent child: Age 0 to 9,Lone parent family: Male parent,367
2011,E09000007,Youngest dependent child: Age 0 to 9,Lone parent family: Female parent,4267
2011,E09000007,Youngest dependent child: Age 10 to 18,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),2649
2011,E09000007,Youngest dependent child: Age 10 to 18,Couple family: Married or same-sex civil partnership: Step-family,187
2011,E09000007,Youngest dependent child: Age 10 to 18,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),403
2011,E09000007,Youngest dependent child: Age 10 to 18,Couple family: Cohabiting: Step-family,70
2011,E09000007,Youngest dependent child: Age 10 to 18,Lone parent family: Male parent,318
2011,E09000007,Youngest dependent child: Age 10 to 18,Lone parent family: Female parent,2743
2011,E09000007,All children in family non-dependent,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),2455
2011,E09000007,All children in family non-dependent,Couple family: Married or same-sex civil partnership: Step-family,221
2011,E09000007,All children in family non-dependent,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),257
2011,E09000007,All children in family non-dependent,Couple family: Cohabiting: Step-family,88
2011,E09000007,All children in family non-dependent,Lone parent family: Male parent,698
2011,E09000007,All children in family non-dependent,Lone parent family: Female parent,3554
2011,E09000001,Families with no children,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),657
2011,E09000001,Families with no children,Couple family: Married or same-sex civil partnership: Step-family,0
2011,E09000001,Families with no children,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),377
2011,E09000001,Families with no children,Couple family: Cohabiting: Step-family,0
2011,E09000001,Families with no children,Lone parent family: Male parent,0
2011,E09000001,Families with no children,Lone parent family: Female parent,0
2011,E09000001,Youngest dependent child: Age 0 to 9,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),189
2011,E09000001,Youngest dependent child: Age 0 to 9,Couple family: Married or same-sex civil partnership: Step-family,4
2011,E09000001,Youngest dependent child: Age 0 to 9,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),48
2011,E09000001,Youngest dependent child: Age 0 to 9,Couple family: Cohabiting: Step-family,3
2011,E09000001,Youngest dependent child: Age 0 to 9,Lone parent family: Male parent,8
2011,E09000001,Youngest dependent child: Age 0 to 9,Lone parent family: Female parent,50
2011,E09000001,Youngest dependent child: Age 10 to 18,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),64
2011,E09000001,Youngest dependent child: Age 10 to 18,Couple family: Married or same-sex civil partnership: Step-family,1
2011,E09000001,Youngest dependent child: Age 10 to 18,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),14
2011,E09000001,Youngest dependent child: Age 10 to 18,Couple family: Cohabiting: Step-family,0
2011,E09000001,Youngest dependent child: Age 10 to 18,Lone parent family: Male parent,15
2011,E09000001,Youngest dependent child: Age 10 to 18,Lone parent family: Female parent,35
2011,E09000001,All children in family non-dependent,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),54
2011,E09000001,All children in family non-dependent,Couple family: Married or same-sex civil partnership: Step-family,8
2011,E09000001,All children in family non-dependent,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),4
2011,E09000001,All children in family non-dependent,Couple family: Cohabiting: Step-family,1
2011,E09000001,All children in family non-dependent,Lone parent family: Male parent,27
2011,E09000001,All children in family non-dependent,Lone parent family: Female parent,50
2011,E09000012,Families with no children,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),7973
2011,E09000012,Families with no children,Couple family: Married or same-sex civil partnership: Step-family,0
2011,E09000012,Families with no children,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),9373
2011,E09000012,Families with no children,Couple family: Cohabiting: Step-family,0
2011,E09000012,Families with no children,Lone parent family: Male parent,0
2011,E09000012,Families with no children,Lone parent family: Female parent,0
2011,E09000012,Youngest dependent child: Age 0 to 9,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),9195
2011,E09000012,Youngest dependent child: Age 0 to 9,Couple family: Married or same-sex civil partnership: Step-family,540
2011,E09000012,Youngest dependent child: Age 0 to 9,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),2334
2011,E09000012,Youngest dependent child: Age 0 to 9,Couple family: Cohabiting: Step-family,260
2011,E09000012,Youngest dependent child: Age 0 to 9,Lone parent family: Male parent,734
2011,E09000012,Youngest dependent child: Age 0 to 9,Lone parent family: Female parent,7611
2011,E09000012,Youngest dependent child: Age 10 to 18,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),2728
2011,E09000012,Youngest dependent child: Age 10 to 18,Couple family: Married or same-sex civil partnership: Step-family,223
2011,E09000012,Youngest dependent child: Age 10 to 18,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),473
2011,E09000012,Youngest dependent child: Age 10 to 18,Couple family: Cohabiting: Step-family,108
2011,E09000012,Youngest dependent child: Age 10 to 18,Lone parent family: Male parent,538
2011,E09000012,Youngest dependent child: Age 10 to 18,Lone parent family: Female parent,4331
2011,E09000012,All children in family non-dependent,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),2616
2011,E09000012,All children in family non-dependent,Couple family: Married or same-sex civil partnership: Step-family,280
2011,E09000012,All children in family non-dependent,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),240
2011,E09000012,All children in family non-dependent,Couple family: Cohabiting: Step-family,109
2011,E09000012,All children in family non-dependent,Lone parent family: Male parent,933
2011,E09000012,All children in family non-dependent,Lone parent family: Female parent,4517
2011,E09000013,Families with no children,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),8717
2011,E09000013,Families with no children,Couple family: Married or same-sex civil partnership: Step-family,0
2011,E09000013,Families with no children,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),7721
2011,E09000013,Families with no children,Couple family: Cohabiting: Step-family,0
2011,E09000013,Families with no children,Lone parent family: Male parent,0
2011,E09000013,Families with no children,Lone parent family: Female parent,0
2011,E09000013,Youngest dependent child: Age 0 to 9,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),7329
2011,E09000013,Youngest dependent child: Age 0 to 9,Couple family: Married or same-sex civil partnership: Step-family,242
2011,E09000013,Youngest dependent child: Age 0 to 9,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),1105
2011,E09000013,Youngest dependent child: Age 0 to 9,Couple family: Cohabiting: Step-family,139
2011,E09000013,Youngest dependent child: Age 0 to 9,Lone parent family: Male parent,262
2011,E09000013,Youngest dependent child: Age 0 to 9,Lone parent family: Female parent,3804
2011,E09000013,Youngest dependent child: Age 10 to 18,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),2132
2011,E09000013,Youngest dependent child: Age 10 to 18,Couple family: Married or same-sex civil partnership: Step-family,181
2011,E09000013,Youngest dependent child: Age 10 to 18,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),259
2011,E09000013,Youngest dependent child: Age 10 to 18,Couple family: Cohabiting: Step-family,60
2011,E09000013,Youngest dependent child: Age 10 to 18,Lone parent family: Male parent,268
2011,E09000013,Youngest dependent child: Age 10 to 18,Lone parent family: Female parent,2639
2011,E09000013,All children in family non-dependent,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),1953
2011,E09000013,All children in family non-dependent,Couple family: Married or same-sex civil partnership: Step-family,207
2011,E09000013,All children in family non-dependent,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),177
2011,E09000013,All children in family non-dependent,Couple family: Cohabiting: Step-family,72
2011,E09000013,All children in family non-dependent,Lone parent family: Male parent,557
2011,E09000013,All children in family non-dependent,Lone parent family: Female parent,3208
2011,E09000014,Families with no children,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),11467
2011,E09000014,Families with no children,Couple family: Married or same-sex civil partnership: Step-family,0
2011,E09000014,Families with no children,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),8802
2011,E09000014,Families with no children,Couple family: Cohabiting: Step-family,0
2011,E09000014,Families with no children,Lone parent family: Male parent,0
2011,E09000014,Families with no children,Lone parent family: Female parent,0
2011,E09000014,Youngest dependent child: Age 0 to 9,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),10450
2011,E09000014,Youngest dependent child: Age 0 to 9,Couple family: Married or same-sex civil partnership: Step-family,492
2011,E09000014,Youngest dependent child: Age 0 to 9,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),2585
2011,E09000014,Youngest dependent child: Age 0 to 9,Couple family: Cohabiting: Step-family,282
2011,E09000014,Youngest dependent child: Age 0 to 9,Lone parent family: Male parent,741
2011,E09000014,Youngest dependent child: Age 0 to 9,Lone parent family: Female parent,7200
2011,E09000014,Youngest dependent child: Age 10 to 18,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),3860
2011,E09000014,Youngest dependent child: Age 10 to 18,Couple family: Married or same-sex civil partnership: Step-family,277
2011,E09000014,Youngest dependent child: Age 10 to 18,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),574
2011,E09000014,Youngest dependent child: Age 10 to 18,Couple family: Cohabiting: Step-family,116
2011,E09000014,Youngest dependent child: Age 10 to 18,Lone parent family: Male parent,543
2011,E09000014,Youngest dependent child: Age 10 to 18,Lone parent family: Female parent,4814
2011,E09000014,All children in family non-dependent,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),3825
2011,E09000014,All children in family non-dependent,Couple family: Married or same-sex civil partnership: Step-family,353
2011,E09000014,All children in family non-dependent,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),279
2011,E09000014,All children in family non-dependent,Couple family: Cohabiting: Step-family,93
2011,E09000014,All children in family non-dependent,Lone parent family: Male parent,922
2011,E09000014,All children in family non-dependent,Lone parent family: Female parent,4775
2011,E09000019,Families with no children,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),9056
2011,E09000019,Families with no children,Couple family: Married or same-sex civil partnership: Step-family,0
2011,E09000019,Families with no children,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),10139
2011,E09000019,Families with no children,Couple family: Cohabiting: Step-family,0
2011,E09000019,Families with no children,Lone parent family: Male parent,0
2011,E09000019,Families with no children,Lone parent family: Female parent,0
2011,E09000019,Youngest dependent child: Age 0 to 9,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),5974
2011,E09000019,Youngest dependent child: Age 0 to 9,Couple family: Married or same-sex civil partnership: Step-family,333
2011,E09000019,Youngest dependent child: Age 0 to 9,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),1596
2011,E09000019,Youngest dependent child: Age 0 to 9,Couple family: Cohabiting: Step-family,174
2011,E09000019,Youngest dependent child: Age 0 to 9,Lone parent family: Male parent,443
2011,E09000019,Youngest dependent child: Age 0 to 9,Lone parent family: Female parent,5706
2011,E09000019,Youngest dependent child: Age 10 to 18,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),2000
2011,E09000019,Youngest dependent child: Age 10 to 18,Couple family: Married or same-sex civil partnership: Step-family,174
2011,E09000019,Youngest dependent child: Age 10 to 18,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),400
2011,E09000019,Youngest dependent child: Age 10 to 18,Couple family: Cohabiting: Step-family,81
2011,E09000019,Youngest dependent child: Age 10 to 18,Lone parent family: Male parent,383
2011,E09000019,Youngest dependent child: Age 10 to 18,Lone parent family: Female parent,3584
2011,E09000019,All children in family non-dependent,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),2267
2011,E09000019,All children in family non-dependent,Couple family: Married or same-sex civil partnership: Step-family,218
2011,E09000019,All children in family non-dependent,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),254
2011,E09000019,All children in family non-dependent,Couple family: Cohabiting: Step-family,67
2011,E09000019,All children in family non-dependent,Lone parent family: Male parent,730
2011,E09000019,All children in family non-dependent,Lone parent family: Female parent,3819
2011,E09000020,Families with no children,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),9947
2011,E09000020,Families with no children,Couple family: Married or same-sex civil partnership: Step-family,0
2011,E09000020,Families with no children,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),5840
2011,E09000020,Families with no children,Couple family: Cohabiting: Step-family,0
2011,E09000020,Families with no children,Lone parent family: Male parent,0
2011,E09000020,Families with no children,Lone parent family: Female parent,0
2011,E09000020,Youngest dependent child: Age 0 to 9,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),6938
2011,E09000020,Youngest dependent child: Age 0 to 9,Couple family: Married or same-sex civil partnership: Step-family,227
2011,E09000020,Youngest dependent child: Age 0 to 9,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),768
2011,E09000020,Youngest dependent child: Age 0 to 9,Couple family: Cohabiting: Step-family,81
2011,E09000020,Youngest dependent child: Age 0 to 9,Lone parent family: Male parent,162
2011,E09000020,Youngest dependent child: Age 0 to 9,Lone parent family: Female parent,2436
2011,E09000020,Youngest dependent child: Age 10 to 18,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),2125
2011,E09000020,Youngest dependent child: Age 10 to 18,Couple family: Married or same-sex civil partnership: Step-family,118
2011,E09000020,Youngest dependent child: Age 10 to 18,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),236
2011,E09000020,Youngest dependent child: Age 10 to 18,Couple family: Cohabiting: Step-family,73
2011,E09000020,Youngest dependent child: Age 10 to 18,Lone parent family: Male parent,202
2011,E09000020,Youngest dependent child: Age 10 to 18,Lone parent family: Female parent,1870
2011,E09000020,All children in family non-dependent,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),1973
2011,E09000020,All children in family non-dependent,Couple family: Married or same-sex civil partnership: Step-family,163
2011,E09000020,All children in family non-dependent,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),154
2011,E09000020,All children in family non-dependent,Couple family: Cohabiting: Step-family,58
2011,E09000020,All children in family non-dependent,Lone parent family: Male parent,536
2011,E09000020,All children in family non-dependent,Lone parent family: Female parent,2604
2011,E09000022,Families with no children,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),11938
2011,E09000022,Families with no children,Couple family: Married or same-sex civil partnership: Step-family,0
2011,E09000022,Families with no children,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),12975
2011,E09000022,Families with no children,Couple family: Cohabiting: Step-family,0
2011,E09000022,Families with no children,Lone parent family: Male parent,0
2011,E09000022,Families with no children,Lone parent family: Female parent,0
2011,E09000022,Youngest dependent child: Age 0 to 9,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),9768
2011,E09000022,Youngest dependent child: Age 0 to 9,Couple family: Married or same-sex civil partnership: Step-family,608
2011,E09000022,Youngest dependent child: Age 0 to 9,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),2923
2011,E09000022,Youngest dependent child: Age 0 to 9,Couple family: Cohabiting: Step-family,327
2011,E09000022,Youngest dependent child: Age 0 to 9,Lone parent family: Male parent,839
2011,E09000022,Youngest dependent child: Age 0 to 9,Lone parent family: Female parent,9697
2011,E09000022,Youngest dependent child: Age 10 to 18,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),3277
2011,E09000022,Youngest dependent child: Age 10 to 18,Couple family: Married or same-sex civil partnership: Step-family,378
2011,E09000022,Youngest dependent child: Age 10 to 18,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),635
2011,E09000022,Youngest dependent child: Age 10 to 18,Couple family: Cohabiting: Step-family,190
2011,E09000022,Youngest dependent child: Age 10 to 18,Lone parent family: Male parent,644
2011,E09000022,Youngest dependent child: Age 10 to 18,Lone parent family: Female parent,5434
2011,E09000022,All children in family non-dependent,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),3150
2011,E09000022,All children in family non-dependent,Couple family: Married or same-sex civil partnership: Step-family,384
2011,E09000022,All children in family non-dependent,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),340
2011,E09000022,All children in family non-dependent,Couple family: Cohabiting: Step-family,106
2011,E09000022,All children in family non-dependent,Lone parent family: Male parent,1093
2011,E09000022,All children in family non-dependent,Lone parent family: Female parent,5668
2011,E09000023,Families with no children,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),12583
2011,E09000023,Families with no children,Couple family: Married or same-sex civil partnership: Step-family,0
2011,E09000023,Families with no children,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),8534
2011,E09000023,Families with no children,Couple family: Cohabiting: Step-family,0
2011,E09000023,Families with no children,Lone parent family: Male parent,0
2011,E09000023,Families with no children,Lone parent family: Female parent,0
2011,E09000023,Youngest dependent child: Age 0 to 9,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),10533
2011,E09000023,Youngest dependent child: Age 0 to 9,Couple family: Married or same-sex civil partnership: Step-family,1006
2011,E09000023,Youngest dependent child: Age 0 to 9,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),3276
2011,E09000023,Youngest dependent child: Age 0 to 9,Couple family: Cohabiting: Step-family,437
2011,E09000023,Youngest dependent child: Age 0 to 9,Lone parent family: Male parent,827
2011,E09000023,Youngest dependent child: Age 0 to 9,Lone parent family: Female parent,9210
2011,E09000023,Youngest dependent child: Age 10 to 18,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),4043
2011,E09000023,Youngest dependent child: Age 10 to 18,Couple family: Married or same-sex civil partnership: Step-family,448
2011,E09000023,Youngest dependent child: Age 10 to 18,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),758
2011,E09000023,Youngest dependent child: Age 10 to 18,Couple family: Cohabiting: Step-family,217
2011,E09000023,Youngest dependent child: Age 10 to 18,Lone parent family: Male parent,746
2011,E09000023,Youngest dependent child: Age 10 to 18,Lone parent family: Female parent,5239
2011,E09000023,All children in family non-dependent,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),4176
2011,E09000023,All children in family non-dependent,Couple family: Married or same-sex civil partnership: Step-family,441
2011,E09000023,All children in family non-dependent,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),392
2011,E09000023,All children in family non-dependent,Couple family: Cohabiting: Step-family,127
2011,E09000023,All children in family non-dependent,Lone parent family: Male parent,1023
2011,E09000023,All children in family non-dependent,Lone parent family: Female parent,5497
2011,E09000025,Families with no children,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),12457
2011,E09000025,Families with no children,Couple family: Married or same-sex civil partnership: Step-family,0
2011,E09000025,Families with no children,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),5392
2011,E09000025,Families with no children,Couple family: Cohabiting: Step-family,0
2011,E09000025,Families with no children,Lone parent family: Male parent,0
2011,E09000025,Families with no children,Lone parent family: Female parent,0
2011,E09000025,Youngest dependent child: Age 0 to 9,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),15806
2011,E09000025,Youngest dependent child: Age 0 to 9,Couple family: Married or same-sex civil partnership: Step-family,910
2011,E09000025,Youngest dependent child: Age 0 to 9,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),2133
2011,E09000025,Youngest dependent child: Age 0 to 9,Couple family: Cohabiting: Step-family,333
2011,E09000025,Youngest dependent child: Age 0 to 9,Lone parent family: Male parent,917
2011,E09000025,Youngest dependent child: Age 0 to 9,Lone parent family: Female parent,8149
2011,E09000025,Youngest dependent child: Age 10 to 18,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),5398
2011,E09000025,Youngest dependent child: Age 10 to 18,Couple family: Married or same-sex civil partnership: Step-family,388
2011,E09000025,Youngest dependent child: Age 10 to 18,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),429
2011,E09000025,Youngest dependent child: Age 10 to 18,Couple family: Cohabiting: Step-family,158
2011,E09000025,Youngest dependent child: Age 10 to 18,Lone parent family: Male parent,607
2011,E09000025,Youngest dependent child: Age 10 to 18,Lone parent family: Female parent,4893
2011,E09000025,All children in family non-dependent,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),5159
2011,E09000025,All children in family non-dependent,Couple family: Married or same-sex civil partnership: Step-family,452
2011,E09000025,All children in family non-dependent,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),296
2011,E09000025,All children in family non-dependent,Couple family: Cohabiting: Step-family,138
2011,E09000025,All children in family non-dependent,Lone parent family: Male parent,1149
2011,E09000025,All children in family non-dependent,Lone parent family: Female parent,5143
2011,E09000028,Families with no children,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),12347
2011,E09000028,Families with no children,Couple family: Married or same-sex civil partnership: Step-family,0
2011,E09000028,Families with no children,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),11488
2011,E09000028,Families with no children,Couple family: Cohabiting: Step-family,0
2011,E09000028,Families with no children,Lone parent family: Male parent,0
2011,E09000028,Families with no children,Lone parent family: Female parent,0
2011,E09000028,Youngest dependent child: Age 0 to 9,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),9711
2011,E09000028,Youngest dependent child: Age 0 to 9,Couple family: Married or same-sex civil partnership: Step-family,773
2011,E09000028,Youngest dependent child: Age 0 to 9,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),3225
2011,E09000028,Youngest dependent child: Age 0 to 9,Couple family: Cohabiting: Step-family,430
2011,E09000028,Youngest dependent child: Age 0 to 9,Lone parent family: Male parent,880
2011,E09000028,Youngest dependent child: Age 0 to 9,Lone parent family: Female parent,8825
2011,E09000028,Youngest dependent child: Age 10 to 18,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),3053
2011,E09000028,Youngest dependent child: Age 10 to 18,Couple family: Married or same-sex civil partnership: Step-family,378
2011,E09000028,Youngest dependent child: Age 10 to 18,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),793
2011,E09000028,Youngest dependent child: Age 10 to 18,Couple family: Cohabiting: Step-family,188
2011,E09000028,Youngest dependent child: Age 10 to 18,Lone parent family: Male parent,568
2011,E09000028,Youngest dependent child: Age 10 to 18,Lone parent family: Female parent,5151
2011,E09000028,All children in family non-dependent,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),3156
2011,E09000028,All children in family non-dependent,Couple family: Married or same-sex civil partnership: Step-family,380
2011,E09000028,All children in family non-dependent,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),386
2011,E09000028,All children in family non-dependent,Couple family: Cohabiting: Step-family,134
2011,E09000028,All children in family non-dependent,Lone parent family: Male parent,1142
