lad22cd,lad22nm,sex_2,age_common,cob_common,value_21,value_11
E09000001,City of London,Female,Aged 16 to 49,Africa,69,75
E09000001,City of London,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",44,66
E09000001,City of London,Female,Aged 16 to 49,Ireland,19,17
E09000001,City of London,Female,Aged 16 to 49,Middle East and Asia,452,301
E09000001,City of London,Female,Aged 16 to 49,Rest of Europe,717,353
E09000001,City of London,Female,Aged 16 to 49,The Americas and the Caribbean,212,143
E09000001,City of London,Female,Aged 16 to 49,United Kingdom,819,893
E09000001,City of London,Male,Aged 16 to 49,Africa,94,92
E09000001,City of London,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",78,99
E09000001,City of London,Male,Aged 16 to 49,Ireland,34,41
E09000001,City of London,Male,Aged 16 to 49,Middle East and Asia,446,240
E09000001,City of London,Male,Aged 16 to 49,Rest of Europe,782,458
E09000001,City of London,Male,Aged 16 to 49,The Americas and the Caribbean,225,161
E09000001,City of London,Male,Aged 16 to 49,United Kingdom,1198,1371
E09000002,Barking and Dagenham,Female,Aged 16 to 49,Africa,8122,8398
E09000002,Barking and Dagenham,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",39,84
E09000002,Barking and Dagenham,Female,Aged 16 to 49,Ireland,136,235
E09000002,Barking and Dagenham,Female,Aged 16 to 49,Middle East and Asia,10027,5526
E09000002,Barking and Dagenham,Female,Aged 16 to 49,Rest of Europe,12694,5873
E09000002,Barking and Dagenham,Female,Aged 16 to 49,The Americas and the Caribbean,940,917
E09000002,Barking and Dagenham,Female,Aged 16 to 49,United Kingdom,24688,27455
E09000002,Barking and Dagenham,Male,Aged 16 to 49,Africa,5866,6989
E09000002,Barking and Dagenham,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",42,56
E09000002,Barking and Dagenham,Male,Aged 16 to 49,Ireland,146,203
E09000002,Barking and Dagenham,Male,Aged 16 to 49,Middle East and Asia,10259,6996
E09000002,Barking and Dagenham,Male,Aged 16 to 49,Rest of Europe,12394,5435
E09000002,Barking and Dagenham,Male,Aged 16 to 49,The Americas and the Caribbean,755,591
E09000002,Barking and Dagenham,Male,Aged 16 to 49,United Kingdom,22858,24996
E09000003,Barnet,Female,Aged 16 to 49,Africa,6699,8732
E09000003,Barnet,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",482,679
E09000003,Barnet,Female,Aged 16 to 49,Ireland,646,946
E09000003,Barnet,Female,Aged 16 to 49,Middle East and Asia,16695,15338
E09000003,Barnet,Female,Aged 16 to 49,Rest of Europe,24311,16297
E09000003,Barnet,Female,Aged 16 to 49,The Americas and the Caribbean,3194,2523
E09000003,Barnet,Female,Aged 16 to 49,United Kingdom,43857,47509
E09000003,Barnet,Male,Aged 16 to 49,Africa,5284,7029
E09000003,Barnet,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",388,572
E09000003,Barnet,Male,Aged 16 to 49,Ireland,620,901
E09000003,Barnet,Male,Aged 16 to 49,Middle East and Asia,14900,14574
E09000003,Barnet,Male,Aged 16 to 49,Rest of Europe,21506,13824
E09000003,Barnet,Male,Aged 16 to 49,The Americas and the Caribbean,2380,1833
E09000003,Barnet,Male,Aged 16 to 49,United Kingdom,44633,48654
E09000004,Bexley,Female,Aged 16 to 49,Africa,5180,4425
E09000004,Bexley,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",134,135
E09000004,Bexley,Female,Aged 16 to 49,Ireland,285,293
E09000004,Bexley,Female,Aged 16 to 49,Middle East and Asia,4626,2425
E09000004,Bexley,Female,Aged 16 to 49,Rest of Europe,5978,2432
E09000004,Bexley,Female,Aged 16 to 49,The Americas and the Caribbean,904,581
E09000004,Bexley,Female,Aged 16 to 49,United Kingdom,38803,44735
E09000004,Bexley,Male,Aged 16 to 49,Africa,3896,3823
E09000004,Bexley,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",145,125
E09000004,Bexley,Male,Aged 16 to 49,Ireland,245,192
E09000004,Bexley,Male,Aged 16 to 49,Middle East and Asia,4071,2162
E09000004,Bexley,Male,Aged 16 to 49,Rest of Europe,5296,2127
E09000004,Bexley,Male,Aged 16 to 49,The Americas and the Caribbean,618,369
E09000004,Bexley,Male,Aged 16 to 49,United Kingdom,37310,42666
E09000005,Brent,Female,Aged 16 to 49,Africa,7885,10034
E09000005,Brent,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",600,1136
E09000005,Brent,Female,Aged 16 to 49,Ireland,493,1032
E09000005,Brent,Female,Aged 16 to 49,Middle East and Asia,22102,20283
E09000005,Brent,Female,Aged 16 to 49,Rest of Europe,20377,13796
E09000005,Brent,Female,Aged 16 to 49,The Americas and the Caribbean,4705,4262
E09000005,Brent,Female,Aged 16 to 49,United Kingdom,32924,33098
E09000005,Brent,Male,Aged 16 to 49,Africa,5904,8580
E09000005,Brent,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",482,1043
E09000005,Brent,Male,Aged 16 to 49,Ireland,543,1242
E09000005,Brent,Male,Aged 16 to 49,Middle East and Asia,21586,23087
E09000005,Brent,Male,Aged 16 to 49,Rest of Europe,20703,14289
E09000005,Brent,Male,Aged 16 to 49,The Americas and the Caribbean,3795,3619
E09000005,Brent,Male,Aged 16 to 49,United Kingdom,34434,35097
E09000006,Bromley,Female,Aged 16 to 49,Africa,3938,3619
E09000006,Bromley,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",486,498
E09000006,Bromley,Female,Aged 16 to 49,Ireland,569,554
E09000006,Bromley,Female,Aged 16 to 49,Middle East and Asia,6210,3571
E09000006,Bromley,Female,Aged 16 to 49,Rest of Europe,9208,4794
E09000006,Bromley,Female,Aged 16 to 49,The Americas and the Caribbean,2452,1592
E09000006,Bromley,Female,Aged 16 to 49,United Kingdom,51510,57807
E09000006,Bromley,Male,Aged 16 to 49,Africa,3217,3336
E09000006,Bromley,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",483,442
E09000006,Bromley,Male,Aged 16 to 49,Ireland,426,429
E09000006,Bromley,Male,Aged 16 to 49,Middle East and Asia,5141,2922
E09000006,Bromley,Male,Aged 16 to 49,Rest of Europe,7053,3532
E09000006,Bromley,Male,Aged 16 to 49,The Americas and the Caribbean,1677,1040
E09000006,Bromley,Male,Aged 16 to 49,United Kingdom,49946,56408
E09000007,Camden,Female,Aged 16 to 49,Africa,3890,4909
E09000007,Camden,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",1018,2222
E09000007,Camden,Female,Aged 16 to 49,Ireland,507,899
E09000007,Camden,Female,Aged 16 to 49,Middle East and Asia,10664,10426
E09000007,Camden,Female,Aged 16 to 49,Rest of Europe,14678,12311
E09000007,Camden,Female,Aged 16 to 49,The Americas and the Caribbean,4430,4603
E09000007,Camden,Female,Aged 16 to 49,United Kingdom,28017,31421
E09000007,Camden,Male,Aged 16 to 49,Africa,3166,4088
E09000007,Camden,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",988,2200
E09000007,Camden,Male,Aged 16 to 49,Ireland,515,938
E09000007,Camden,Male,Aged 16 to 49,Middle East and Asia,8389,9101
E09000007,Camden,Male,Aged 16 to 49,Rest of Europe,11219,10277
E09000007,Camden,Male,Aged 16 to 49,The Americas and the Caribbean,3304,3732
E09000007,Camden,Male,Aged 16 to 49,United Kingdom,28132,34194
E09000008,Croydon,Female,Aged 16 to 49,Africa,9841,9998
E09000008,Croydon,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",386,394
E09000008,Croydon,Female,Aged 16 to 49,Ireland,485,608
E09000008,Croydon,Female,Aged 16 to 49,Middle East and Asia,11357,10100
E09000008,Croydon,Female,Aged 16 to 49,Rest of Europe,14533,7836
E09000008,Croydon,Female,Aged 16 to 49,The Americas and the Caribbean,5403,4079
E09000008,Croydon,Female,Aged 16 to 49,United Kingdom,53926,59620
E09000008,Croydon,Male,Aged 16 to 49,Africa,7604,8608
E09000008,Croydon,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",353,306
E09000008,Croydon,Male,Aged 16 to 49,Ireland,383,571
E09000008,Croydon,Male,Aged 16 to 49,Middle East and Asia,10827,11756
E09000008,Croydon,Male,Aged 16 to 49,Rest of Europe,12580,6727
E09000008,Croydon,Male,Aged 16 to 49,The Americas and the Caribbean,3822,2994
E09000008,Croydon,Male,Aged 16 to 49,United Kingdom,52606,57307
E09000009,Ealing,Female,Aged 16 to 49,Africa,6371,7903
E09000009,Ealing,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",751,1560
E09000009,Ealing,Female,Aged 16 to 49,Ireland,718,1294
E09000009,Ealing,Female,Aged 16 to 49,Middle East and Asia,23991,20580
E09000009,Ealing,Female,Aged 16 to 49,Rest of Europe,21733,16806
E09000009,Ealing,Female,Aged 16 to 49,The Americas and the Caribbean,3147,2581
E09000009,Ealing,Female,Aged 16 to 49,United Kingdom,37777,39578
E09000009,Ealing,Male,Aged 16 to 49,Africa,5155,6798
E09000009,Ealing,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",698,1532
E09000009,Ealing,Male,Aged 16 to 49,Ireland,732,1215
E09000009,Ealing,Male,Aged 16 to 49,Middle East and Asia,22896,23019
E09000009,Ealing,Male,Aged 16 to 49,Rest of Europe,19972,16029
E09000009,Ealing,Male,Aged 16 to 49,The Americas and the Caribbean,2447,2116
E09000009,Ealing,Male,Aged 16 to 49,United Kingdom,40192,42512
E09000010,Enfield,Female,Aged 16 to 49,Africa,8651,9938
E09000010,Enfield,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",222,273
E09000010,Enfield,Female,Aged 16 to 49,Ireland,387,668
E09000010,Enfield,Female,Aged 16 to 49,Middle East and Asia,5658,5772
E09000010,Enfield,Female,Aged 16 to 49,Rest of Europe,23242,15814
E09000010,Enfield,Female,Aged 16 to 49,The Americas and the Caribbean,2694,2551
E09000010,Enfield,Female,Aged 16 to 49,United Kingdom,39178,46288
E09000010,Enfield,Male,Aged 16 to 49,Africa,5583,7382
E09000010,Enfield,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",154,222
E09000010,Enfield,Male,Aged 16 to 49,Ireland,301,570
E09000010,Enfield,Male,Aged 16 to 49,Middle East and Asia,4591,5609
E09000010,Enfield,Male,Aged 16 to 49,Rest of Europe,20473,13954
E09000010,Enfield,Male,Aged 16 to 49,The Americas and the Caribbean,1701,1630
E09000010,Enfield,Male,Aged 16 to 49,United Kingdom,38521,45352
E09000011,Greenwich,Female,Aged 16 to 49,Africa,10466,10572
E09000011,Greenwich,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",557,614
E09000011,Greenwich,Female,Aged 16 to 49,Ireland,573,600
E09000011,Greenwich,Female,Aged 16 to 49,Middle East and Asia,9770,7398
E09000011,Greenwich,Female,Aged 16 to 49,Rest of Europe,14922,7637
E09000011,Greenwich,Female,Aged 16 to 49,The Americas and the Caribbean,3406,2070
E09000011,Greenwich,Female,Aged 16 to 49,United Kingdom,38840,39887
E09000011,Greenwich,Male,Aged 16 to 49,Africa,8159,9861
E09000011,Greenwich,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",561,563
E09000011,Greenwich,Male,Aged 16 to 49,Ireland,565,594
E09000011,Greenwich,Male,Aged 16 to 49,Middle East and Asia,8636,7770
E09000011,Greenwich,Male,Aged 16 to 49,Rest of Europe,13124,7005
E09000011,Greenwich,Male,Aged 16 to 49,The Americas and the Caribbean,2479,1538
E09000011,Greenwich,Male,Aged 16 to 49,United Kingdom,39782,41631
E09000012,Hackney,Female,Aged 16 to 49,Africa,6103,8002
E09000012,Hackney,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",2220,1564
E09000012,Hackney,Female,Aged 16 to 49,Ireland,897,948
E09000012,Hackney,Female,Aged 16 to 49,Middle East and Asia,5950,5491
E09000012,Hackney,Female,Aged 16 to 49,Rest of Europe,16777,13543
E09000012,Hackney,Female,Aged 16 to 49,The Americas and the Caribbean,5614,4649
E09000012,Hackney,Female,Aged 16 to 49,United Kingdom,41835,41338
E09000012,Hackney,Male,Aged 16 to 49,Africa,4222,6781
E09000012,Hackney,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",1823,1531
E09000012,Hackney,Male,Aged 16 to 49,Ireland,962,1036
E09000012,Hackney,Male,Aged 16 to 49,Middle East and Asia,4921,5350
E09000012,Hackney,Male,Aged 16 to 49,Rest of Europe,13911,12409
E09000012,Hackney,Male,Aged 16 to 49,The Americas and the Caribbean,4370,4471
E09000012,Hackney,Male,Aged 16 to 49,United Kingdom,41341,42985
E09000013,Hammersmith and Fulham,Female,Aged 16 to 49,Africa,4075,4740
E09000013,Hammersmith and Fulham,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",1383,3411
E09000013,Hammersmith and Fulham,Female,Aged 16 to 49,Ireland,613,949
E09000013,Hammersmith and Fulham,Female,Aged 16 to 49,Middle East and Asia,6632,5940
E09000013,Hammersmith and Fulham,Female,Aged 16 to 49,Rest of Europe,14413,11017
E09000013,Hammersmith and Fulham,Female,Aged 16 to 49,The Americas and the Caribbean,3912,3526
E09000013,Hammersmith and Fulham,Female,Aged 16 to 49,United Kingdom,25437,28147
E09000013,Hammersmith and Fulham,Male,Aged 16 to 49,Africa,3240,4183
E09000013,Hammersmith and Fulham,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",1157,3039
E09000013,Hammersmith and Fulham,Male,Aged 16 to 49,Ireland,526,956
E09000013,Hammersmith and Fulham,Male,Aged 16 to 49,Middle East and Asia,5400,5542
E09000013,Hammersmith and Fulham,Male,Aged 16 to 49,Rest of Europe,11242,9625
E09000013,Hammersmith and Fulham,Male,Aged 16 to 49,The Americas and the Caribbean,2627,2898
E09000013,Hammersmith and Fulham,Male,Aged 16 to 49,United Kingdom,25497,29966
E09000014,Haringey,Female,Aged 16 to 49,Africa,5682,7440
E09000014,Haringey,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",777,1076
E09000014,Haringey,Female,Aged 16 to 49,Ireland,654,874
E09000014,Haringey,Female,Aged 16 to 49,Middle East and Asia,4481,5285
E09000014,Haringey,Female,Aged 16 to 49,Rest of Europe,22265,19162
E09000014,Haringey,Female,Aged 16 to 49,The Americas and the Caribbean,5566,4419
E09000014,Haringey,Female,Aged 16 to 49,United Kingdom,33916,34731
E09000014,Haringey,Male,Aged 16 to 49,Africa,4324,6622
E09000014,Haringey,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",615,1038
E09000014,Haringey,Male,Aged 16 to 49,Ireland,530,1006
E09000014,Haringey,Male,Aged 16 to 49,Middle East and Asia,3971,5217
E09000014,Haringey,Male,Aged 16 to 49,Rest of Europe,20130,19272
E09000014,Haringey,Male,Aged 16 to 49,The Americas and the Caribbean,4752,3706
E09000014,Haringey,Male,Aged 16 to 49,United Kingdom,34113,37367
E09000015,Harrow,Female,Aged 16 to 49,Africa,4338,7105
E09000015,Harrow,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",134,240
E09000015,Harrow,Female,Aged 16 to 49,Ireland,294,741
E09000015,Harrow,Female,Aged 16 to 49,Middle East and Asia,17064,15137
E09000015,Harrow,Female,Aged 16 to 49,Rest of Europe,13896,6634
E09000015,Harrow,Female,Aged 16 to 49,The Americas and the Caribbean,1174,983
E09000015,Harrow,Female,Aged 16 to 49,United Kingdom,24834,27656
E09000015,Harrow,Male,Aged 16 to 49,Africa,3564,6073
E09000015,Harrow,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",115,209
E09000015,Harrow,Male,Aged 16 to 49,Ireland,314,790
E09000015,Harrow,Male,Aged 16 to 49,Middle East and Asia,15457,15113
E09000015,Harrow,Male,Aged 16 to 49,Rest of Europe,15260,6582
E09000015,Harrow,Male,Aged 16 to 49,The Americas and the Caribbean,840,709
E09000015,Harrow,Male,Aged 16 to 49,United Kingdom,26610,29108
E09000016,Havering,Female,Aged 16 to 49,Africa,3354,2306
E09000016,Havering,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",117,134
E09000016,Havering,Female,Aged 16 to 49,Ireland,309,329
E09000016,Havering,Female,Aged 16 to 49,Middle East and Asia,4698,2065
E09000016,Havering,Female,Aged 16 to 49,Rest of Europe,8103,2368
E09000016,Havering,Female,Aged 16 to 49,The Americas and the Caribbean,829,456
E09000016,Havering,Female,Aged 16 to 49,United Kingdom,41648,46350
E09000016,Havering,Male,Aged 16 to 49,Africa,2609,1900
E09000016,Havering,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",95,104
E09000016,Havering,Male,Aged 16 to 49,Ireland,236,283
E09000016,Havering,Male,Aged 16 to 49,Middle East and Asia,4253,1754
E09000016,Havering,Male,Aged 16 to 49,Rest of Europe,7480,1987
E09000016,Havering,Male,Aged 16 to 49,The Americas and the Caribbean,550,343
E09000016,Havering,Male,Aged 16 to 49,United Kingdom,40246,45433
E09000017,Hillingdon,Female,Aged 16 to 49,Africa,5061,5766
E09000017,Hillingdon,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",195,260
E09000017,Hillingdon,Female,Aged 16 to 49,Ireland,511,693
E09000017,Hillingdon,Female,Aged 16 to 49,Middle East and Asia,19081,12317
E09000017,Hillingdon,Female,Aged 16 to 49,Rest of Europe,11101,6038
E09000017,Hillingdon,Female,Aged 16 to 49,The Americas and the Caribbean,1448,1145
E09000017,Hillingdon,Female,Aged 16 to 49,United Kingdom,37058,43279
E09000017,Hillingdon,Male,Aged 16 to 49,Africa,4218,5113
E09000017,Hillingdon,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",180,250
E09000017,Hillingdon,Male,Aged 16 to 49,Ireland,481,574
