lower_tier_local_authorities_code,hhcomp_common,eth_common,value_21,value_11,value_01
E09000001,Couple/lone parent with no dependent children,Asian: Bangladeshi,21,12,9
E09000001,Couple/lone parent with no dependent children,Asian: Chinese,82,22,12
E09000001,Couple/lone parent with no dependent children,Asian: Indian,42,22,24
E09000001,Couple/lone parent with no dependent children,Asian: Other,30,24,6
E09000001,Couple/lone parent with no dependent children,Asian: Pakistani,2,0,0
E09000001,Couple/lone parent with no dependent children,Black: African,14,2,3
E09000001,Couple/lone parent with no dependent children,Black: Caribbean,6,1,7
E09000001,Couple/lone parent with no dependent children,Black: Other,0,1,0
E09000001,Couple/lone parent with no dependent children,Mixed: Other,24,7,8
E09000001,Couple/lone parent with no dependent children,Mixed: White and Asian,18,7,11
E09000001,Couple/lone parent with no dependent children,Mixed: White and Black African,2,4,0
E09000001,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,6,3,0
E09000001,Couple/lone parent with no dependent children,Other,67,13,9
E09000001,Couple/lone parent with no dependent children,White: British,567,628,575
E09000001,Couple/lone parent with no dependent children,White: Irish,25,22,25
E09000001,Couple/lone parent with no dependent children,White: Other,377,221,137
E09000002,Couple/lone parent with no dependent children,Asian: Bangladeshi,670,190,21
E09000002,Couple/lone parent with no dependent children,Asian: Chinese,159,141,78
E09000002,Couple/lone parent with no dependent children,Asian: Indian,768,553,268
E09000002,Couple/lone parent with no dependent children,Asian: Other,340,282,66
E09000002,Couple/lone parent with no dependent children,Asian: Pakistani,652,286,136
E09000002,Couple/lone parent with no dependent children,Black: African,1925,950,260
E09000002,Couple/lone parent with no dependent children,Black: Caribbean,659,484,328
E09000002,Couple/lone parent with no dependent children,Black: Other,146,84,23
E09000002,Couple/lone parent with no dependent children,Mixed: Other,93,55,23
E09000002,Couple/lone parent with no dependent children,Mixed: White and Asian,35,42,30
E09000002,Couple/lone parent with no dependent children,Mixed: White and Black African,54,46,14
E09000002,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,94,70,30
E09000002,Couple/lone parent with no dependent children,Other,446,154,62
E09000002,Couple/lone parent with no dependent children,White: British,7838,9890,14114
E09000002,Couple/lone parent with no dependent children,White: Irish,195,288,447
E09000002,Couple/lone parent with no dependent children,White: Other,1670,828,387
E09000003,Couple/lone parent with no dependent children,Asian: Bangladeshi,203,150,89
E09000003,Couple/lone parent with no dependent children,Asian: Chinese,1136,862,496
E09000003,Couple/lone parent with no dependent children,Asian: Indian,3565,3045,2262
E09000003,Couple/lone parent with no dependent children,Asian: Other,1963,1450,547
E09000003,Couple/lone parent with no dependent children,Asian: Pakistani,532,307,204
E09000003,Couple/lone parent with no dependent children,Black: African,1646,949,593
E09000003,Couple/lone parent with no dependent children,Black: Caribbean,567,370,386
E09000003,Couple/lone parent with no dependent children,Black: Other,156,145,57
E09000003,Couple/lone parent with no dependent children,Mixed: Other,419,239,131
E09000003,Couple/lone parent with no dependent children,Mixed: White and Asian,234,239,134
E09000003,Couple/lone parent with no dependent children,Mixed: White and Black African,198,120,57
E09000003,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,159,116,72
E09000003,Couple/lone parent with no dependent children,Other,3186,1234,694
E09000003,Couple/lone parent with no dependent children,White: British,14608,16928,18459
E09000003,Couple/lone parent with no dependent children,White: Irish,1132,1222,1530
E09000003,Couple/lone parent with no dependent children,White: Other,6966,4821,3411
E09000004,Couple/lone parent with no dependent children,Asian: Bangladeshi,73,42,12
E09000004,Couple/lone parent with no dependent children,Asian: Chinese,382,237,113
E09000004,Couple/lone parent with no dependent children,Asian: Indian,929,648,432
E09000004,Couple/lone parent with no dependent children,Asian: Other,448,294,93
E09000004,Couple/lone parent with no dependent children,Asian: Pakistani,70,37,20
E09000004,Couple/lone parent with no dependent children,Black: African,1401,614,195
E09000004,Couple/lone parent with no dependent children,Black: Caribbean,385,245,158
E09000004,Couple/lone parent with no dependent children,Black: Other,113,46,19
E09000004,Couple/lone parent with no dependent children,Mixed: Other,119,77,51
E09000004,Couple/lone parent with no dependent children,Mixed: White and Asian,98,72,54
E09000004,Couple/lone parent with no dependent children,Mixed: White and Black African,53,37,17
E09000004,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,95,62,36
E09000004,Couple/lone parent with no dependent children,Other,509,151,60
E09000004,Couple/lone parent with no dependent children,White: British,19336,21064,22257
E09000004,Couple/lone parent with no dependent children,White: Irish,440,424,504
E09000004,Couple/lone parent with no dependent children,White: Other,1332,729,525
E09000005,Couple/lone parent with no dependent children,Asian: Bangladeshi,127,93,50
E09000005,Couple/lone parent with no dependent children,Asian: Chinese,417,368,284
E09000005,Couple/lone parent with no dependent children,Asian: Indian,5770,5063,3252
E09000005,Couple/lone parent with no dependent children,Asian: Other,1691,1401,685
E09000005,Couple/lone parent with no dependent children,Asian: Pakistani,877,687,520
E09000005,Couple/lone parent with no dependent children,Black: African,2034,1109,861
E09000005,Couple/lone parent with no dependent children,Black: Caribbean,2753,2247,2517
E09000005,Couple/lone parent with no dependent children,Black: Other,510,338,120
E09000005,Couple/lone parent with no dependent children,Mixed: Other,355,199,159
E09000005,Couple/lone parent with no dependent children,Mixed: White and Asian,184,152,98
E09000005,Couple/lone parent with no dependent children,Mixed: White and Black African,217,117,64
E09000005,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,209,178,96
E09000005,Couple/lone parent with no dependent children,Other,2281,847,392
E09000005,Couple/lone parent with no dependent children,White: British,5332,5784,7745
E09000005,Couple/lone parent with no dependent children,White: Irish,1382,1827,2636
E09000005,Couple/lone parent with no dependent children,White: Other,4637,3119,2336
E09000006,Couple/lone parent with no dependent children,Asian: Bangladeshi,103,58,33
E09000006,Couple/lone parent with no dependent children,Asian: Chinese,507,304,153
E09000006,Couple/lone parent with no dependent children,Asian: Indian,942,596,439
E09000006,Couple/lone parent with no dependent children,Asian: Other,617,408,149
E09000006,Couple/lone parent with no dependent children,Asian: Pakistani,121,65,51
E09000006,Couple/lone parent with no dependent children,Black: African,919,369,163
E09000006,Couple/lone parent with no dependent children,Black: Caribbean,967,484,314
E09000006,Couple/lone parent with no dependent children,Black: Other,173,96,20
E09000006,Couple/lone parent with no dependent children,Mixed: Other,288,128,65
E09000006,Couple/lone parent with no dependent children,Mixed: White and Asian,209,156,92
E09000006,Couple/lone parent with no dependent children,Mixed: White and Black African,94,51,23
E09000006,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,221,139,57
E09000006,Couple/lone parent with no dependent children,Other,754,265,110
E09000006,Couple/lone parent with no dependent children,White: British,26987,28772,29780
E09000006,Couple/lone parent with no dependent children,White: Irish,748,662,730
E09000006,Couple/lone parent with no dependent children,White: Other,2860,1768,1267
E09000007,Couple/lone parent with no dependent children,Asian: Bangladeshi,668,395,194
E09000007,Couple/lone parent with no dependent children,Asian: Chinese,583,450,230
E09000007,Couple/lone parent with no dependent children,Asian: Indian,688,526,362
E09000007,Couple/lone parent with no dependent children,Asian: Other,735,797,119
E09000007,Couple/lone parent with no dependent children,Asian: Pakistani,120,84,99
E09000007,Couple/lone parent with no dependent children,Black: African,991,525,376
E09000007,Couple/lone parent with no dependent children,Black: Caribbean,371,248,249
E09000007,Couple/lone parent with no dependent children,Black: Other,114,180,32
E09000007,Couple/lone parent with no dependent children,Mixed: Other,394,269,146
E09000007,Couple/lone parent with no dependent children,Mixed: White and Asian,258,167,125
E09000007,Couple/lone parent with no dependent children,Mixed: White and Black African,121,87,54
E09000007,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,121,82,51
E09000007,Couple/lone parent with no dependent children,Other,1411,698,443
E09000007,Couple/lone parent with no dependent children,White: British,9284,10471,9752
E09000007,Couple/lone parent with no dependent children,White: Irish,813,930,1023
E09000007,Couple/lone parent with no dependent children,White: Other,5591,4497,3365
E09000008,Couple/lone parent with no dependent children,Asian: Bangladeshi,189,109,75
E09000008,Couple/lone parent with no dependent children,Asian: Chinese,451,454,219
E09000008,Couple/lone parent with no dependent children,Asian: Indian,2816,2264,1667
E09000008,Couple/lone parent with no dependent children,Asian: Other,1382,1191,507
E09000008,Couple/lone parent with no dependent children,Asian: Pakistani,896,533,413
E09000008,Couple/lone parent with no dependent children,Black: African,2760,1325,639
E09000008,Couple/lone parent with no dependent children,Black: Caribbean,4058,2476,1816
E09000008,Couple/lone parent with no dependent children,Black: Other,594,445,125
E09000008,Couple/lone parent with no dependent children,Mixed: Other,492,248,126
E09000008,Couple/lone parent with no dependent children,Mixed: White and Asian,349,266,211
E09000008,Couple/lone parent with no dependent children,Mixed: White and Black African,199,110,40
E09000008,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,415,284,121
E09000008,Couple/lone parent with no dependent children,Other,1322,437,198
E09000008,Couple/lone parent with no dependent children,White: British,18969,20767,23168
E09000008,Couple/lone parent with no dependent children,White: Irish,822,800,1053
E09000008,Couple/lone parent with no dependent children,White: Other,3848,2235,1745
E09000009,Couple/lone parent with no dependent children,Asian: Bangladeshi,163,92,93
E09000009,Couple/lone parent with no dependent children,Asian: Chinese,558,475,339
E09000009,Couple/lone parent with no dependent children,Asian: Indian,5059,4152,3485
E09000009,Couple/lone parent with no dependent children,Asian: Other,2047,1563,701
E09000009,Couple/lone parent with no dependent children,Asian: Pakistani,1036,768,547
E09000009,Couple/lone parent with no dependent children,Black: African,1300,669,378
E09000009,Couple/lone parent with no dependent children,Black: Caribbean,1669,1376,1270
E09000009,Couple/lone parent with no dependent children,Black: Other,233,229,65
E09000009,Couple/lone parent with no dependent children,Mixed: Other,346,197,162
E09000009,Couple/lone parent with no dependent children,Mixed: White and Asian,230,184,184
E09000009,Couple/lone parent with no dependent children,Mixed: White and Black African,142,75,49
E09000009,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,202,125,110
E09000009,Couple/lone parent with no dependent children,Other,2774,1188,494
E09000009,Couple/lone parent with no dependent children,White: British,10737,11546,14922
E09000009,Couple/lone parent with no dependent children,White: Irish,1377,1471,2121
E09000009,Couple/lone parent with no dependent children,White: Other,5912,4038,2845
E09000010,Couple/lone parent with no dependent children,Asian: Bangladeshi,348,213,162
E09000010,Couple/lone parent with no dependent children,Asian: Chinese,331,270,185
E09000010,Couple/lone parent with no dependent children,Asian: Indian,1367,1316,994
E09000010,Couple/lone parent with no dependent children,Asian: Other,1020,986,392
E09000010,Couple/lone parent with no dependent children,Asian: Pakistani,213,161,104
E09000010,Couple/lone parent with no dependent children,Black: African,1959,1131,411
E09000010,Couple/lone parent with no dependent children,Black: Caribbean,2023,1559,1251
E09000010,Couple/lone parent with no dependent children,Black: Other,370,327,76
E09000010,Couple/lone parent with no dependent children,Mixed: Other,355,266,112
E09000010,Couple/lone parent with no dependent children,Mixed: White and Asian,167,194,113
E09000010,Couple/lone parent with no dependent children,Mixed: White and Black African,108,73,40
E09000010,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,166,159,86
E09000010,Couple/lone parent with no dependent children,Other,3464,1175,187
E09000010,Couple/lone parent with no dependent children,White: British,11732,14353,17492
E09000010,Couple/lone parent with no dependent children,White: Irish,937,1030,1227
E09000010,Couple/lone parent with no dependent children,White: Other,5288,4983,3617
E09000011,Couple/lone parent with no dependent children,Asian: Bangladeshi,114,57,22
E09000011,Couple/lone parent with no dependent children,Asian: Chinese,889,452,156
E09000011,Couple/lone parent with no dependent children,Asian: Indian,1202,808,528
E09000011,Couple/lone parent with no dependent children,Asian: Other,1136,588,130
E09000011,Couple/lone parent with no dependent children,Asian: Pakistani,220,138,104
E09000011,Couple/lone parent with no dependent children,Black: African,2588,1281,616
E09000011,Couple/lone parent with no dependent children,Black: Caribbean,1042,681,521
E09000011,Couple/lone parent with no dependent children,Black: Other,230,184,71
E09000011,Couple/lone parent with no dependent children,Mixed: Other,325,161,43
E09000011,Couple/lone parent with no dependent children,Mixed: White and Asian,200,98,78
E09000011,Couple/lone parent with no dependent children,Mixed: White and Black African,97,68,31
E09000011,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,211,131,53
E09000011,Couple/lone parent with no dependent children,Other,1034,284,145
E09000011,Couple/lone parent with no dependent children,White: British,15722,15226,15779
E09000011,Couple/lone parent with no dependent children,White: Irish,772,619,703
E09000011,Couple/lone parent with no dependent children,White: Other,4153,1826,984
E09000012,Couple/lone parent with no dependent children,Asian: Bangladeshi,292,160,120
E09000012,Couple/lone parent with no dependent children,Asian: Chinese,409,297,180
E09000012,Couple/lone parent with no dependent children,Asian: Indian,684,485,344
E09000012,Couple/lone parent with no dependent children,Asian: Other,539,456,86
E09000012,Couple/lone parent with no dependent children,Asian: Pakistani,135,111,104
E09000012,Couple/lone parent with no dependent children,Black: African,2279,1421,871
E09000012,Couple/lone parent with no dependent children,Black: Caribbean,1960,1598,1544
E09000012,Couple/lone parent with no dependent children,Black: Other,396,381,137
E09000012,Couple/lone parent with no dependent children,Mixed: Other,513,282,97
E09000012,Couple/lone parent with no dependent children,Mixed: White and Asian,305,187,98
E09000012,Couple/lone parent with no dependent children,Mixed: White and Black African,191,115,58
E09000012,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,302,179,80
E09000012,Couple/lone parent with no dependent children,Other,1883,758,233
E09000012,Couple/lone parent with no dependent children,White: British,9984,9245,8081
E09000012,Couple/lone parent with no dependent children,White: Irish,817,679,814
E09000012,Couple/lone parent with no dependent children,White: Other,5163,3550,1888
E09000013,Couple/lone parent with no dependent children,Asian: Bangladeshi,72,35,36
E09000013,Couple/lone parent with no dependent children,Asian: Chinese,400,269,131
E09000013,Couple/lone parent with no dependent children,Asian: Indian,463,360,253
E09000013,Couple/lone parent with no dependent children,Asian: Other,714,602,121
E09000013,Couple/lone parent with no dependent children,Asian: Pakistani,170,131,71
E09000013,Couple/lone parent with no dependent children,Black: African,914,504,266
E09000013,Couple/lone parent with no dependent children,Black: Caribbean,899,727,745
E09000013,Couple/lone parent with no dependent children,Black: Other,194,143,57
E09000013,Couple/lone parent with no dependent children,Mixed: Other,297,187,100
E09000013,Couple/lone parent with no dependent children,Mixed: White and Asian,203,136,106
E09000013,Couple/lone parent with no dependent children,Mixed: White and Black African,106,64,49
E09000013,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,170,113,57
E09000013,Couple/lone parent with no dependent children,Other,1242,626,238
E09000013,Couple/lone parent with no dependent children,White: British,8608,8764,8925
E09000013,Couple/lone parent with no dependent children,White: Irish,716,815,1034
E09000013,Couple/lone parent with no dependent children,White: Other,4931,3697,2553
E09000014,Couple/lone parent with no dependent children,Asian: Bangladeshi,236,170,94
E09000014,Couple/lone parent with no dependent children,Asian: Chinese,435,341,173
E09000014,Couple/lone parent with no dependent children,Asian: Indian,666,654,542
E09000014,Couple/lone parent with no dependent children,Asian: Other,753,766,275
E09000014,Couple/lone parent with no dependent children,Asian: Pakistani,156,114,116
E09000014,Couple/lone parent with no dependent children,Black: African,1843,1091,744
E09000014,Couple/lone parent with no dependent children,Black: Caribbean,2017,1598,1656
E09000014,Couple/lone parent with no dependent children,Black: Other,320,272,92
E09000014,Couple/lone parent with no dependent children,Mixed: Other,444,279,140
E09000014,Couple/lone parent with no dependent children,Mixed: White and Asian,213,173,110
E09000014,Couple/lone parent with no dependent children,Mixed: White and Black African,152,86,52
E09000014,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,227,176,74
E09000014,Couple/lone parent with no dependent children,Other,2320,898,273
E09000014,Couple/lone parent with no dependent children,White: British,9752,9875,10320
E09000014,Couple/lone parent with no dependent children,White: Irish,919,1012,1299
E09000014,Couple/lone parent with no dependent children,White: Other,5865,4772,3166
E09000015,Couple/lone parent with no dependent children,Asian: Bangladeshi,123,94,57
E09000015,Couple/lone parent with no dependent children,Asian: Chinese,353,324,236
E09000015,Couple/lone parent with no dependent children,Asian: Indian,7647,6282,3454
E09000015,Couple/lone parent with no dependent children,Asian: Other,1971,1391,606
E09000015,Couple/lone parent with no dependent children,Asian: Pakistani,584,436,224
E09000015,Couple/lone parent with no dependent children,Black: African,735,389,237
E09000015,Couple/lone parent with no dependent children,Black: Caribbean,845,682,606
E09000015,Couple/lone parent with no dependent children,Black: Other,141,138,36
E09000015,Couple/lone parent with no dependent children,Mixed: Other,183,124,108
E09000015,Couple/lone parent with no dependent children,Mixed: White and Asian,115,122,111
E09000015,Couple/lone parent with no dependent children,Mixed: White and Black African,58,30,24
E09000015,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,104,91,43
E09000015,Couple/lone parent with no dependent children,Other,1430,413,171
E09000015,Couple/lone parent with no dependent children,White: British,6403,8842,11963
E09000015,Couple/lone parent with no dependent children,White: Irish,852,1010,1320
E09000015,Couple/lone parent with no dependent children,White: Other,2244,1385,1058
E09000016,Couple/lone parent with no dependent children,Asian: Bangladeshi,223,28,19
E09000016,Couple/lone parent with no dependent children,Asian: Chinese,249,132,83
E09000016,Couple/lone parent with no dependent children,Asian: Indian,1017,514,259
E09000016,Couple/lone parent with no dependent children,Asian: Other,355,185,58
E09000016,Couple/lone parent with no dependent children,Asian: Pakistani,285,73,27
E09000016,Couple/lone parent with no dependent children,Black: African,916,270,54
E09000016,Couple/lone parent with no dependent children,Black: Caribbean,583,289,156
E09000016,Couple/lone parent with no dependent children,Black: Other,113,48,8
E09000016,Couple/lone parent with no dependent children,Mixed: Other,117,54,35
E09000016,Couple/lone parent with no dependent children,Mixed: White and Asian,105,56,40
E09000016,Couple/lone parent with no dependent children,Mixed: White and Black African,47,24,14
E09000016,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,108,69,20
E09000016,Couple/lone parent with no dependent children,Other,410,125,31
E09000016,Couple/lone parent with no dependent children,White: British,21483,24356,24501
E09000016,Couple/lone parent with no dependent children,White: Irish,459,468,561
E09000016,Couple/lone parent with no dependent children,White: Other,1429,617,399
E09000017,Couple/lone parent with no dependent children,Asian: Bangladeshi,175,77,34
E09000017,Couple/lone parent with no dependent children,Asian: Chinese,349,265,167
E09000017,Couple/lone parent with no dependent children,Asian: Indian,4758,3154,1608
E09000017,Couple/lone parent with no dependent children,Asian: Other,1448,1003,309
E09000017,Couple/lone parent with no dependent children,Asian: Pakistani,746,427,189
E09000017,Couple/lone parent with no dependent children,Black: African,800,382,156
E09000017,Couple/lone parent with no dependent children,Black: Caribbean,636,430,283
E09000017,Couple/lone parent with no dependent children,Black: Other,125,132,31
